wavelength (nm),29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023
190,91.191,103.572,168.087,131.842,130.045,298.693,354.006,292.493,99.747,16.419
190.5,87.053,100.717,162.834,127.234,125.965,295.014,351.641,291.243,99.6,16.017
191,84.146,99.497,157.612,123.074,122.053,293.962,349.409,290.546,99.645,16.039
191.5,81.968,99.864,152.512,119.117,118.423,293.44,347.169,290.302,99.605,16.037
192,80.329,98.244,148.746,115.431,115.066,292.44,345.878,290.167,99.579,16.185
192.5,78.292,96.186,145.263,112.111,111.953,292.104,346.667,289.836,99.547,16.234
193,76.569,93.696,142.161,109.313,109.117,292.369,346.724,290.331,100.021,16.398
193.5,74.929,90.94,139.415,106.751,106.438,292.51,348.063,290.325,99.983,16.487
194,73.273,88.754,136.662,104.319,104.243,292.725,349.489,290.845,99.689,16.48
194.5,71.838,87.11,134.211,101.97,102.115,292.702,349.879,290.649,99.708,16.543
195,70.412,85.059,131.54,99.711,99.742,292.545,349.043,291.929,99.946,16.451
195.5,68.675,83.156,128.653,97.701,97.39,293.772,348.364,293.196,100.111,16.419
196,67.2,82.211,125.889,95.612,95.324,294.73,347.867,294.62,100.123,16.557
196.5,65.938,81.087,123.369,93.959,93.469,294.244,348.628,294.387,100.4,16.676
197,64.731,79.419,120.946,92.159,91.535,293.818,348.734,295.161,100.638,16.707
197.5,63.523,77.975,118.478,90.505,89.726,293.162,347.713,295.078,100.904,16.756
198,62.572,76.873,116.229,89.115,88.237,292.846,347.046,294.59,100.894,16.842
198.5,61.387,75.906,114.062,87.68,86.798,291.86,346.769,294.072,100.715,16.737
199,59.949,74.978,111.929,86.479,85.877,290.838,345.329,293.083,100.658,16.802
199.5,58.332,73.664,110.132,85.302,84.645,289.512,343.918,292.318,100.667,16.813
200,57.042,72.433,108.394,83.971,83.193,288.527,341.155,292.016,100.437,16.741
200.5,55.846,70.955,106.903,82.905,81.873,287.062,339.42,290.148,100.16,16.708
201,54.965,69.914,105.358,81.457,80.784,284.729,338.064,287.769,99.924,16.672
201.5,54.389,68.641,103.629,80.094,79.636,282.287,335.738,284.687,99.753,16.517
202,53.772,67.662,102.365,78.558,78.637,280.302,333.468,282.998,99.646,16.388
202.5,53.283,66.922,101.054,77.616,77.506,278.356,329.994,279.582,99.366,16.358
203,53.049,66.389,99.641,76.655,76.483,276.181,327.676,276.111,99.007,16.259
203.5,52.566,65.651,98.265,75.648,75.616,273.417,324.643,273.088,98.978,16.095
204,51.858,64.977,96.762,74.75,74.763,270.511,320.565,269.863,98.646,16.068
204.5,51.075,64.245,95.424,73.847,73.848,266.527,316.735,266.816,98.258,15.818
205,50.056,63.564,93.934,73.066,72.886,263.306,312.034,263.99,97.913,15.741
205.5,49.13,62.77,92.478,72.412,72.17,259.647,306.882,260.134,97.538,15.663
206,48.213,62.143,91.295,71.541,71.451,256.1,302.198,256.791,97.112,15.65
206.5,47.547,61.371,90.081,70.532,70.922,252.844,296.999,253.064,96.603,15.652
207,46.867,60.547,88.894,69.521,70.12,248.493,293.042,248.914,96.252,15.563
207.5,46.304,59.866,87.674,68.601,69.16,243.65,288.088,243.671,95.534,15.534
208,45.763,58.784,86.292,67.461,68.151,238.543,282.038,238.518,94.607,15.379
208.5,45.44,57.564,84.974,66.335,67.049,233.411,276.079,233.013,93.609,15.079
209,44.697,56.522,83.362,65.071,65.936,227.713,270.067,227.451,92.636,14.825
209.5,43.951,55.63,81.834,64.013,64.752,222.344,264.286,221.894,91.706,14.561
210,43.335,54.689,80.341,63,63.522,217.573,258.142,216.835,91.009,14.443
210.5,42.732,54.063,79.078,62.119,62.515,213.378,252.273,212.288,90.305,14.316
211,41.829,53.276,78.136,61.438,61.791,208.779,247.918,208.981,89.93,14.404
211.5,41.095,52.418,76.959,60.664,61.076,204.574,243.272,204.77,89.546,14.402
212,40.363,51.538,76.06,59.955,60.34,200.193,239.129,201.307,89.412,14.447
212.5,39.569,50.88,74.874,59.255,59.652,196.003,233.995,197.793,88.798,14.438
213,38.934,49.843,73.648,58.36,58.993,192.099,229.041,194.272,88.252,14.282
213.5,38.399,49.178,72.377,57.459,58.149,188.433,224.749,190.698,87.475,13.921
214,37.65,48.395,70.881,56.533,57.155,184.772,220.315,187.226,86.63,13.554
214.5,37.207,47.597,69.638,55.644,56.021,181.607,215.505,183.911,85.983,13.328
215,36.895,46.887,68.443,54.681,55.114,178.22,211.332,180.599,85.37,13.115
215.5,36.672,46.113,67.192,53.917,54.282,175.368,207.445,177.505,84.767,12.961
216,36.003,45.316,66.115,53.258,53.614,172.19,204.332,174.871,84.165,12.849
216.5,35.598,44.626,65.087,52.568,52.969,169.635,201.241,171.775,83.624,12.772
217,35.162,43.904,64.02,51.823,52.253,167.358,198.295,169.491,83.232,12.804
217.5,34.79,43.502,62.819,51.029,51.619,164.854,195.097,166.631,82.8,12.742
218,34.32,42.978,61.828,50.184,50.956,162.878,192.892,164.074,82.433,12.623
218.5,33.908,42.519,60.782,49.326,50.067,160.788,190.447,161.505,81.671,12.358
219,33.412,41.827,59.838,48.458,49.145,158.56,187.814,159.09,81.246,12.124
